ticker,current_price,weight,allocation_dollars,shares,cost
HRB,43.54999923706055,0.07999999999999992,29999.99999999997,688,29962.399475097656
WSO,343.04998779296875,0.07999999999999992,29999.99999999997,87,29845.34893798828
HTGC,18.790000915527344,0.059999999999999984,22499.999999999993,1197,22491.63109588623
ARES,163.22999572753906,0.05142178212786519,19283.168297949447,118,19261.13949584961
GPC,124.02999877929688,0.042285049671267956,15856.893626725483,127,15751.809844970703
OTTR,82.55000305175781,0.04135588126366835,15508.45547387563,187,15436.850570678711
MRK,106.05999755859376,0.04062546349862762,15234.548811985356,143,15166.579650878908
UVV,53.02000045776367,0.04,15000.0,282,14951.640129089355
MO,57.77000045776367,0.03999999999999999,14999.999999999995,259,14962.430118560791
NJR,46.34999847412109,0.03999999999999994,14999.999999999976,323,14971.049507141111
CTRE,36.93000030517578,0.03999999999999989,14999.999999999958,406,14993.580123901367
REG,69.5999984741211,0.03764833764084952,14118.126615318572,202,14059.199691772461
WSM,181.3999938964844,0.03612728612557214,13547.732297089551,74,13423.599548339846
XOM,120.98999786376952,0.029999999999999992,11249.999999999996,92,11131.079803466795
ENB,48.04999923706055,0.029999999999999968,11249.999999999987,234,11243.699821472168
EPD,32.11000061035156,0.029999999999999968,11249.999999999987,350,11238.500213623047
AGM,177.02000427246094,0.02883264281606511,10812.241056024417,61,10798.220260620117
NEU,697.9500122070312,0.022983083087618105,8618.656157856789,12,8375.400146484375
BR,225.2400054931641,0.022384810960539684,8394.304110202382,37,8333.880203247072
MCD,308.0299987792969,0.021911128874252693,8216.67332784476,26,8008.779968261719
SR,83.12000274658203,0.020512279622833526,7692.104858562572,92,7647.040252685547
HNI,42.43999862670898,0.01967653532890691,7378.700748340091,173,7342.119762420653
RS,291.510009765625,0.016293268754620345,6109.975782982629,20,5830.2001953125
GRMN,205.08999633789065,0.015641278908364652,5865.479590636744,28,5742.519897460938
EVRG,73.19999694824219,0.015259788980861019,5722.420867822882,78,5709.599761962891
JNJ,206.91000366210935,0.014632785056408519,5487.294396153195,26,5379.660095214843
CSL,324.19000244140625,0.013318570150266874,4994.463806350078,15,4862.850036621094
PM,161.9499969482422,0.013254303829422122,4970.363936033295,30,4858.499908447266
GILD,123.18000030517578,0.012273387907932832,4602.520465474812,37,4557.660011291504
NOC,574.5700073242188,0.010491504406788883,3934.314152545831,6,3447.4200439453125
OSK,126.58999633789062,0.009386703434046144,3520.013787767304,27,3417.929901123047
MPWR,923.9099731445312,0.005644121424730984,2116.545534274119,2,1847.8199462890625
OZK,46.540000915527344,0.004981588740873367,1868.0957778275128,40,1861.6000366210938
RF,27.31999969482422,0.004763986315196677,1786.494868198754,65,1775.7999801635742
FTS,52.08000183105469,0.0033252899260334604,1246.9837222625476,23,1197.8400421142578
LMAT,83.01000213623047,0.0031920116947921373,1197.0043855470515,14,1162.1400299072266
CMI,513.6099853515625,0.0011367708325845404,426.28906221920266,0,0.0
GD,339.4700012207031,0.000640358619010098,240.13448212878674,0,0.0
